iter	Passed	Remaining
455	955	1139
456	956	1136
457	960	1136
458	961	1132
459	962	1129
460	963	1126
461	964	1123
462	965	1119
463	966	1116
464	974	1121
465	976	1118
466	978	1116
467	981	1115
468	983	1113
469	990	1117
470	992	1114
471	994	1112
472	996	1109
473	997	1106
474	999	1104
475	1005	1107
476	1007	1104
477	1009	1101
478	1010	1099
479	1011	1096
480	1013	1093
481	1014	1090
482	1021	1093
483	1024	1092
484	1027	1090
485	1029	1089
486	1037	1092
487	1040	1091
488	1043	1090
489	1045	1087
490	1054	1093
491	1056	1091
492	1058	1088
493	1060	1085
494	1065	1086
495	1067	1084
496	1070	1083
497	1072	1081
498	1076	1080
499	1078	1078
500	1085	1081
501	1087	1079
502	1090	1077
503	1092	1075
504	1098	1076
505	1100	1074
506	1101	1071
507	1103	1068
508	1105	1065
509	1113	1069
510	1115	1067
511	1117	1065
512	1120	1063
513	1122	1061
514	1124	1058
515	1129	1059
516	1131	1057
517	1133	1054
518	1135	1052
519	1137	1049
520	1139	1047
521	1145	1048
522	1149	1048
523	1151	1045
524	1153	1043
525	1157	1043
526	1159	1040
527	1160	1037
528	1162	1035
529	1166	1034
530	1167	1031
531	1170	1029
532	1175	1030
533	1177	1027
534	1179	1024
535	1180	1022
536	1183	1019
537	1185	1017
538	1187	1016
539	1189	1013
540	1191	1010
541	1193	1008
542	1196	1007
543	1201	1007
544	1203	1004
545	1205	1002
546	1206	999
547	1208	996
548	1210	994
549	1212	991
550	1217	992
551	1219	989
552	1221	987
553	1224	985
554	1225	982
555	1227	980
556	1231	979
557	1233	977
558	1234	974
559	1236	971
560	1238	968
561	1239	965
562	1241	963
563	1242	960
564	1244	958
565	1249	958
566	1251	955
567	1252	952
568	1254	949
569	1255	947
570	1257	944
571	1258	941
572	1260	939
573	1264	938
574	1266	936
575	1268	933
576	1269	930
577	1272	928
578	1275	927
579	1283	929
580	1285	927
581	1287	924
582	1290	922
583	1298	924
584	1299	922
585	1301	919
586	1303	917
587	1312	919
588	1314	917
589	1317	915
590	1319	913
591	1321	910
592	1331	914
593	1340	916
594	1344	915
595	1357	920
596	1375	928
597	1378	926
598	1387	928
599	1392	928
600	1394	925
601	1401	926
602	1406	925
603	1407	923
604	1409	920
605	1415	920
606	1417	917
607	1418	914
608	1420	911
609	1421	909
610	1423	906
611	1425	903
612	1432	904
613	1434	901
614	1435	898
615	1437	896
616	1438	893
617	1440	890
618	1446	890
619	1447	887
620	1449	884
621	1450	881
622	1452	878
623	1454	876
624	1455	873
625	1460	872
626	1461	869
627	1462	866
628	1464	863
629	1465	860
630	1469	859
631	1470	856
632	1475	855
633	1477	852
634	1478	849
635	1479	846
636	1481	844
637	1482	841
638	1483	838
639	1484	835
640	1485	832
641	1489	830
642	1490	827
643	1492	824
644	1493	821
645	1494	818
646	1495	815
647	1496	812
648	1497	810
649	1498	807
650	1499	804
651	1503	802
652	1504	799
653	1506	796
654	1507	793
655	1508	790
656	1509	788
657	1511	785
658	1512	782
659	1513	779
660	1514	776
661	1515	773
662	1519	772
663	1520	769
664	1522	766
665	1523	763
666	1524	761
667	1525	758
668	1527	755
669	1528	752
670	1529	750
671	1534	748
672	1535	746
673	1536	743
674	1539	741
675	1540	738
676	1541	735
677	1543	732
678	1544	730
679	1550	729
680	1553	727
681	1571	732
682	1573	730
683	1586	732
684	1594	733
685	1597	731
686	1601	729
687	1611	730
688	1615	729
689	1618	727
690	1620	724
691	1629	725
692	1631	722
693	1633	720
694	1634	717
695	1635	714
696	1636	711
697	1640	709
698	1641	706
699	1642	704
700	1643	701
701	1644	698
702	1646	695
703	1647	692
704	1648	689
705	1649	686
706	1650	684
707	1651	681
708	1655	679
709	1657	676
710	1658	674
711	1659	671
712	1660	668
713	1662	665
714	1663	663
715	1665	660
716	1666	657
717	1670	655
718	1672	653
719	1673	650
720	1674	648
721	1676	645
722	1677	642
723	1678	639
724	1679	637
725	1683	635
726	1685	632
727	1687	630
728	1689	627
729	1690	625
730	1691	622
731	1692	619
732	1693	616
733	1694	614
734	1695	611
735	1702	610
736	1703	607
737	1704	605
738	1705	602
739	1706	599
740	1707	596
741	1708	594
742	1709	591
743	1711	588
744	1715	587
745	1716	584
746	1717	581
747	1718	579
748	1720	576
749	1721	573
750	1722	571
751	1723	568
752	1724	565
753	1725	562
754	1728	560
755	1729	558
756	1731	555
757	1732	553
758	1733	550
759	1734	547
760	1735	545
761	1736	542
762	1737	539
763	1739	537
764	1740	534
765	1742	532
766	1745	530
767	1746	527
768	1748	525
769	1749	522
770	1750	519
771	1751	517
772	1753	514
773	1754	512
774	1757	510
775	1760	508
776	1761	505
777	1762	502
778	1763	500
779	1764	497
780	1765	495
781	1766	492
782	1768	490
783	1769	487
784	1770	484
785	1774	483
786	1775	480
787	1776	478
788	1777	475
789	1778	472
790	1780	470
791	1781	467
792	1782	465
793	1783	462
794	1784	460
795	1788	458
796	1789	455
